ID,title,year,director(s),writer(s),actor(s)
0,Jurassic World,2015,Colin Trevorrow,Rick Jaffa;Amanda Silver;Derek Connolly;Colin Trevorrow,Chris Pratt;Bryce Dallas Howard;Jake Johnson;Judy Greer
1,The Martian,2015,Ridley Scott,Drew Goddard;Andy Weir,Matt Damon;Jessica Chastain;Kate Mara;Jeff Daniels
2,Terminator Genisys,2015,Alan Taylor,Laeta Kalogridis;Patrick Lussier,Arnold Schwarzenegger;Jason Clarke;Emilia Clarke;Jai Courtney
3,Mad Max: Fury Road,2015,George Miller,George Miller;Nick Lathouris;Brendan McCarthy,Tom Hardy;Charlize Theron;Hugh Keays-Byrne;Nicholas Hoult
4,San Andreas,2015,Brad Peyton,Carlton Cuse;Andre Fabrizio;Jeremy Passmore,Alexandra Daddario;Dwayne Johnson;Carla Gugino;Archie Panjabi
5,Southpaw,2015,Antoine Fuqua,Kurt Sutter;Richard Wenk,Jake Gyllenhaal;Rachel McAdams;Forest Whitaker;Oona Laurence
6,Tomorrowland,2015,Brad Bird,Brad Bird;Damon Lindelof;Jeff Jensen,Britt Robertson;George Clooney;Raffey Cassidy;Thomas Robinson
7,Avengers: Age of Ultron,2015,Joss Whedon,Joss Whedon,Robert Downey Jr.;Chris Evans;Chris Hemsworth;Mark Ruffalo
8,Pixels,2015,Chris Columbus,Tim Herlihy;Adam Sandler;Timothy Dowling;Patrick Jean,Adam Sandler;Michelle Monaghan;Peter Dinklage;Josh Gad
9,Minions,2015,Kyle Balda;Pierre Coffin,Brian Lynch,Pierre Coffin;Sandra Bullock;Jon Hamm;Katy Mixon
10,Inside Out,2015,Pete Docter;Ronaldo Del Carmen,Pete Docter;Meg LeFauve;Ronaldo Del Carmen;Josh Cooley,Amy Poehler;Mindy Kaling;Bill Hader;Phyllis Smith
11,Interstellar,2014,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Matthew McConaughey;Anne Hathaway;Jessica Chastain;Michael Caine
12,Maze Runner: The Scorch Trials,2015,Wes Ball,James Dashner;T.S. Nowlin,Dylan O'Brien;Kaya Scodelario;Thomas Brodie-Sangster;Giancarlo Esposito
13,Ant-Man,2015,Peyton Reed,Adam McKay;Edgar Wright;Joe Cornish;Paul Rudd,Paul Rudd;Michael Douglas;Evangeline Lilly;Corey Stoll
14,Eddie Izzard: Glorious,1997,Peter Richardson,Eddie Izzard,Eddie Izzard
15,Insurgent,2015,Robert Schwentke,Brian Duffield;Akiva Goldsman;Veronica Roth;Mark Bomback,Shailene Woodley;Theo James;Kate Winslet;Ansel Elgort
16,Hotel Transylvania 2,2015,Genndy Tartakovsky,Dan Hageman;Kevin Hageman,Adam Sandler;Kevin James;Steve Buscemi;Selena Gomez
17,The Hunger Games: Mockingjay - Part 1,2014,Francis Lawrence,Suzanne Collins;Danny Strong;Peter Craig,Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth;Woody Harrelson
18,Big Hero 6,2014,Don Hall;Chris Williams,Joseph Mateo;Dan Gerson;Robert L. Baird;Jordan Roberts,Scott Adsit;Ryan Potter;Daniel Henney;T.J. Miller
19,The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,J.R.R. Tolkien;Peter Jackson;Fran Walsh;Philippa Boyens;Guillermo del Toro,Martin Freeman;Ian McKellen;Richard Armitage;Ken Stott
20,Spy,2015,Paul Feig,Paul Feig,Melissa McCarthy;Jude Law;Jason Statham;Rose Byrne
21,Kingsman: The Secret Service,2015,Matthew Vaughn,Jane Goldman;Matthew Vaughn,Taron Egerton;Colin Firth;Samuel L. Jackson;Michael Caine
22,Paper Towns,2015,Jake Schreier,Scott Neustadter;Michael H. Weber;John Green,Nat Wolff;Cara Delevingne;Halston Sage;Caitlin Carver
23,Mission: Impossible – Rogue Nation,2015,Christopher McQuarrie,Drew Pearce;Will Staples,Tom Cruise;Jeremy Renner;Simon Pegg;Rebecca Ferguson
24,Guardians of the Galaxy,2014,James Gunn,Nicole Perlman;James Gunn,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel
25,Jupiter Ascending,2015,Lana Wachowski;Andy Wachowski,Andy Wachowski;Lana Wachowski,Mila Kunis;Channing Tatum;Sean Bean;Eddie Redmayne
26,The Maze Runner,2014,Wes Ball,James Dashner;Grant Pierce Myers;Noah Oppenheim;T.S. Nowlin,Dylan O'Brien;Aml Ameen;Ki Hong Lee;Blake Cooper
27,John Wick,2014,Chad Stahelski;David Leitch,Derek Kolstad,Keanu Reeves;Michael Nyqvist;Alfie Allen;Willem Dafoe
28,Furious 7,2015,James Wan,Chris Morgan,Vin Diesel;Paul Walker;Jason Statham;Michelle Rodriguez
29,Ted 2,2015,Seth MacFarlane,Seth MacFarlane;Alec Sulkin;Wellesley Wild,Mark Wahlberg;Seth MacFarlane;Amanda Seyfried;Jessica Barth
30,Cinderella,2015,Kenneth Branagh,Aline Brosh McKenna;Chris Weitz,Lily James;Cate Blanchett;Richard Madden;Helena Bonham Carter
31,Sicario,2015,Denis Villeneuve,Taylor Sheridan,Emily Blunt;Josh Brolin;Benicio del Toro;Daniel Kaluuya
32,Gone Girl,2014,David Fincher,Gillian Flynn,Ben Affleck;Rosamund Pike;Tyler Perry;Neil Patrick Harris
33,The Imitation Game,2014,Morten Tyldum,Graham Moore,Benedict Cumberbatch;Keira Knightley;Matthew Goode;Rory Kinnear
34,American Sniper,2014,Clint Eastwood,Jason Hall;Scott McEwen;Chris Kyle;James Defelice,Bradley Cooper;Sienna Miller;Jake McDorman;Luke Grimes
35,Whiplash,2014,Damien Chazelle,Damien Chazelle,Miles Teller;J.K. Simmons;Melissa Benoist;Austin Stowell
36,Birdman,2014,Alejandro González Iñárritu,Alexander Dinelaris;Alejandro González Iñárritu;Armando Bo;Nicolás Giacobone,Michael Keaton;Zach Galifianakis;Edward Norton;Emma Stone
37,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,André Nemec;Evan Daugherty;Josh Appelbaum,Megan Fox;Will Arnett;William Fichtner;Alan Ritchson
38,Entourage,2015,Doug Ellin,Doug Ellin;Rob Weiss,Jeremy Piven;Adrian Grenier;Jerry Ferrara;Kevin Connolly
39,Lucy,2014,Luc Besson,Luc Besson,Scarlett Johansson;Morgan Freeman;Choi Min-sik;Amr Waked
40,Taken 3,2015,Olivier Megaton,Luc Besson;Robert Mark Kamen,Liam Neeson;Forest Whitaker;Famke Janssen;Maggie Grace
41,Everest,2015,Baltasar Kormákur,Mark Medoff;Simon Beaufoy;Justin Isbell,Jason Clarke;Jake Gyllenhaal;Josh Brolin;John Hawkes
42,X-Men: Days of Future Past,2014,Bryan Singer,Jane Goldman;Simon Kinberg;Matthew Vaughn,Hugh Jackman;James McAvoy;Patrick Stewart;Michael Fassbender
43,Black Mass,2015,Scott Cooper,Jez Butterworth;Mark Mallouk,Johnny Depp;Joel Edgerton;Benedict Cumberbatch;Dakota Johnson
44,The Equalizer,2014,Antoine Fuqua,Richard Wenk,Denzel Washington;Marton Csokas;Chloë Grace Moretz;David Harbour
45,Pitch Perfect 2,2015,Elizabeth Banks,Kay Cannon,Anna Kendrick;Rebel Wilson;Brittany Snow;Hailee Steinfeld
46,Penis Boy,2015,James Healey,Alejandro Veciana;Nate Palant,Kate McLeod;Jon Necaj;Collin Blackard;Alfred Rosenblatt
47,Pan,2015,Joe Wright,Jason Fuchs,Rooney Mara;Hugh Jackman;Amanda Seyfried;Garrett Hedlund
48,The Internship,2013,Shawn Levy,Vince Vaughn;Jared Stern,Owen Wilson;Vince Vaughn;Tiya Sircar;Rose Byrne
49,Fury,2014,David Ayer,David Ayer,Brad Pitt;Shia LaBeouf;Logan Lerman;Michael Peña
50,Inception,2010,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page;Tom Hardy
51,The Avengers,2012,Joss Whedon,Joss Whedon;Zak Penn;Stan Lee,Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth
52,Alien,1979,Ridley Scott,Dan O'Bannon;Ronald Shusett,Sigourney Weaver;Tom Skerritt;Veronica Cartwright;Harry Dean Stanton
53,Exodus: Gods and Kings,2014,Ridley Scott,Bill Collage;Adam Cooper;Steven Zaillian;Jeffrey Caine,Christian Bale;Joel Edgerton;John Turturro;Aaron Paul
54,Star Wars: Episode IV - A New Hope,1977,George Lucas,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing
55,Nightcrawler,2014,Dan Gilroy,Dan Gilroy,Jake Gyllenhaal;Bill Paxton;Rene Russo;Kevin Rahm
56,Dawn of the Planet of the Apes,2014,Matt Reeves,Pierre Boulle;Mark Bomback;Rick Jaffa;Amanda Silver,Andy Serkis;Jason Clarke;Toby Kebbell;Keri Russell
57,Penguins of Madagascar,2014,Simon J. Smith;Eric Darnell,Michael Colton;John Aboud,Tom McGrath;Chris Miller;Christopher Knights;Conrad Vernon
58,Self/less,2015,Tarsem Singh,Àlex Pastor;David Pastor,Ryan Reynolds;Ben Kingsley;Natalie Martinez;Matthew Goode
59,Child 44,2015,Daniel Espinosa,Richard Price;Tom Rob Smith,Tom Hardy;Gary Oldman;Noomi Rapace;Joel Kinnaman
60,Chappie,2015,Neill Blomkamp,Neill Blomkamp;Terri Tatchell,Sharlto Copley;Dev Patel;Ninja;Yolandi Visser
61,The Intern,2015,Nancy Meyers,Nancy Meyers,Robert De Niro;Anne Hathaway;Rene Russo;Nat Wolff
62,The Dark Knight Rises,2012,Christopher Nolan,Jonathan Nolan;Christopher Nolan;David S. Goyer,Christian Bale;Michael Caine;Gary Oldman;Anne Hathaway
63,Captain America: The Winter Soldier,2014,Joe Russo;Anthony Russo,Christopher Markus;Stephen McFeely,Chris Evans;Scarlett Johansson;Sebastian Stan;Samuel L. Jackson
64,Terminator 2: Judgment Day,1991,James Cameron,William Wisher Jr.;James Cameron,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick
65,Knock Knock,2015,Eli Roth,Eli Roth;Nicolás López;Guillermo Amoedo;Anthony Overman;Michael Ronald Ross,Keanu Reeves;Lorenza Izzo;Ana de Armas;Aaron Burns
66,Dracula Untold,2014,Gary Shore,Matt Sazama;Burk Sharpless,Luke Evans;Sarah Gadon;Dominic Cooper;Art Parkinson
67,The Dark Knight,2008,Christopher Nolan,Jonathan Nolan;Christopher Nolan;David S. Goyer,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine
68,Insidious: Chapter 3,2015,Leigh Whannell,Leigh Whannell,Dermot Mulroney;Stefanie Scott;Lin Shaye;Leigh Whannell
69,Edge of Tomorrow,2014,Doug Liman,Jez Butterworth;Christopher McQuarrie;John-Henry Butterworth;Hiroshi Sakurazaka,Tom Cruise;Emily Blunt;Brendan Gleeson;Bill Paxton
70,Tracers,2015,Daniel Benmayor,Leslie Bohem;Kevin Lund;T.J. Scott;Matt Johnson,Marie Avgeropoulos;Taylor Lautner;Adam Rayner;Rafi Gavron
